set;number;name;cost;rarity
AFR;1;+2 Mace;[1][W];C
AFR;2;Arborea Pegasus;[3][W];C
AFR;3;Blink Dog;[2][W];U
AFR;4;The Book of Exalted Deeds;[W][W][W];M
AFR;5;Celestial Unicorn;[2][W];C
AFR;6;Cleric Class;[W];U
AFR;7;Cloister Gargoyle;[2][W];U
AFR;A-7;A-Cloister Gargoyle;[1][W];U
AFR;8;Dancing Sword;[1][W];R
AFR;9;Dawnbringer Cleric;[1][W];C
AFR;10;Delver's Torch;[1][W];C
AFR;11;Devoted Paladin;[4][W];C
AFR;12;Divine Smite;[1][W];U
AFR;13;Dragon's Disciple;[1][W];U
AFR;14;Dwarfhold Champion;[1][W];C
AFR;15;Flumph;[1][W];R
AFR;16;Gloom Stalker;[2][W];C
AFR;17;Grand Master of Flowers;[2][W][W];M
AFR;18;Guardian of Faith;[1][W][W];R
AFR;19;Half-Elf Monk;[3][W];C
AFR;20;Icingdeath, Frost Tyrant;[2][W][W];M
AFR;21;Ingenious Smith;[1][W];U
AFR;22;Keen-Eared Sentry;[1][W];U
AFR;23;Loyal Warhound;[1][W];R
AFR;24;Minimus Containment;[2][W];C
AFR;25;Monk of the Open Hand;[W];U
AFR;26;Moon-Blessed Cleric;[2][W];U
AFR;27;Nadaar, Selfless Paladin;[2][W];R
AFR;28;Oswald Fiddlebender;[1][W];R
AFR;29;Paladin Class;[W];R
AFR;30;Paladin's Shield;[1][W];C
AFR;31;Planar Ally;[3][W][W];C
AFR;32;Plate Armor;[2][W];U
AFR;33;Portable Hole;[W];U
AFR;34;Potion of Healing;[1][W];C
AFR;35;Priest of Ancient Lore;[2][W];C
AFR;36;Rally Maneuver;[2][W];U
AFR;37;Ranger's Hawk;[W];C
AFR;38;Steadfast Paladin;[1][W];C
AFR;39;Teleportation Circle;[3][W];R
AFR;40;Veteran Dungeoneer;[3][W];C
AFR;41;White Dragon;[4][W][W];U
AFR;42;You Hear Something on Watch;[1][W];C
AFR;43;You're Ambushed on the Road;[W];C
AFR;44;Aberrant Mind Sorcerer;[4][U];U
AFR;45;Air-Cult Elemental;[4][U][U];C
AFR;46;Arcane Investigator;[1][U];C
AFR;47;Bar the Gate;[2][U];C
AFR;48;The Blackstaff of Waterdeep;[U];R
AFR;49;Blue Dragon;[5][U][U];U
AFR;50;Charmed Sleep;[1][U][U];C
AFR;51;Clever Conjurer;[2][U];C
AFR;52;Contact Other Plane;[3][U];C
AFR;53;Demilich;[U][U][U][U];M
AFR;A-53;A-Demilich;[U][U][U][U];M
AFR;54;Displacer Beast;[2][U];U
AFR;55;Djinni Windseer;[3][U];C
AFR;56;Dragon Turtle;[1][U][U];R
AFR;57;Eccentric Apprentice;[2][U];U
AFR;58;Feywild Trickster;[2][U];U
AFR;59;Fly;[U];U
AFR;60;Grazilaxx, Illithid Scholar;[1][U][U];R
AFR;61;Guild Thief;[1][U];U
AFR;62;Iymrith, Desert Doom;[3][U][U];M
AFR;63;Mind Flayer;[3][U][U];R
AFR;64;Mordenkainen;[4][U][U];M
AFR;65;Mordenkainen's Polymorph;[1][U];C
AFR;66;Pixie Guide;[1][U];C
AFR;67;Power of Persuasion;[2][U];U
AFR;68;Ray of Frost;[1][U];U
AFR;69;Rimeshield Frost Giant;[3][U][U];C
AFR;70;Scion of Stygia;[2][U];C
AFR;71;Secret Door;[U];C
AFR;72;Shocking Grasp;[1][U];C
AFR;73;Shortcut Seeker;[3][U];C
AFR;74;Silver Raven;[U];C
AFR;75;Soulknife Spy;[2][U];C
AFR;76;Split the Party;[3][U][U];U
AFR;77;Sudden Insight;[4][U][U];U
AFR;78;Tasha's Hideous Laughter;[1][U][U];R
AFR;79;Trickster's Talisman;[U];U
AFR;80;True Polymorph;[4][U][U];R
AFR;81;Wizard Class;[U];U
AFR;A-81;A-Wizard Class;[U];U
AFR;82;Wizard's Spellbook;[5][U][U];R
AFR;83;You Come to a River;[1][U];C
AFR;84;You Find the Villains' Lair;[1][U][U];C
AFR;85;You See a Guard Approach;[U];C
AFR;86;Yuan-Ti Malison;[1][U];R
AFR;87;Acererak the Archlich;[2][B];M
AFR;A-87;A-Acererak the Archlich;[2][B];M
AFR;88;Asmodeus the Archfiend;[4][B][B];R
AFR;89;Baleful Beholder;[4][B][B];C
AFR;90;Black Dragon;[5][B][B];U
AFR;91;The Book of Vile Darkness;[B][B][B];M
AFR;92;Check for Traps;[1][B];U
AFR;93;Clattering Skeletons;[3][B];C
AFR;94;Deadly Dispute;[1][B];C
AFR;95;Death-Priest of Myrkul;[2][B][B];U
AFR;A-95;A-Death-Priest of Myrkul;[2][B][B];U
AFR;96;Demogorgon's Clutches;[2][B];U
AFR;97;Devour Intellect;[B];C
AFR;98;Drider;[4][B];U
AFR;99;Dungeon Crawler;[B];U
AFR;100;Ebondeath, Dracolich;[2][B][B];M
AFR;101;Eyes of the Beholder;[4][B][B];C
AFR;102;Fates' Reversal;[1][B];C
AFR;A-102;A-Fates' Reversal;[B];C
AFR;103;Feign Death;[B];C
AFR;104;Forsworn Paladin;[B];R
AFR;105;Gelatinous Cube;[2][B][B];R
AFR;106;Grim Bounty;[2][B][B];C
AFR;107;Grim Wanderer;[1][B];U
AFR;108;Herald of Hadar;[4][B];C
AFR;109;Hired Hexblade;[1][B];C
AFR;110;Hoard Robber;[1][B];C
AFR;111;Lightfoot Rogue;[1][B];U
AFR;112;Lolth, Spider Queen;[3][B][B];M
AFR;113;Manticore;[3][B];C
AFR;114;Power Word Kill;[1][B];U
AFR;115;Precipitous Drop;[2][B];C
AFR;A-115;A-Precipitous Drop;[1][B];C
AFR;116;Ray of Enfeeblement;[B];U
AFR;117;Reaper's Talisman;[B];U
AFR;118;Sepulcher Ghoul;[1][B];C
AFR;A-118;A-Sepulcher Ghoul;[1][B];C
AFR;119;Shambling Ghast;[B];C
AFR;120;Skullport Merchant;[2][B];U
AFR;121;Sphere of Annihilation;[X][B];R
AFR;122;Thieves' Tools;[1][B];C
AFR;123;Vampire Spawn;[2][B];C
AFR;124;Vorpal Sword;[B];R
AFR;125;Warlock Class;[B];U
AFR;126;Westgate Regent;[3][B][B];R
AFR;127;Wight;[1][B];R
AFR;128;Yuan-Ti Fang-Blade;[2][B];C
AFR;129;Zombie Ogre;[3][B][B];C
AFR;130;Armory Veteran;[1][R];C
AFR;131;Barbarian Class;[R];U
AFR;132;Battle Cry Goblin;[1][R];U
AFR;133;Boots of Speed;[R];C
AFR;134;Brazen Dwarf;[1][R];C
AFR;135;Burning Hands;[1][R];U
AFR;136;Chaos Channeler;[2][R][R];U
AFR;137;Critical Hit;[1][R];U
AFR;138;Delina, Wild Mage;[3][R];R
AFR;139;Dragon's Fire;[1][R];C
AFR;140;Dueling Rapier;[R];C
AFR;141;Earth-Cult Elemental;[4][R][R];C
AFR;142;Farideh's Fireball;[3][R][R];C
AFR;143;Flameskull;[1][R][R];M
AFR;144;Goblin Javelineer;[R];C
AFR;145;Goblin Morningstar;[1][R];U
AFR;146;Hoarding Ogre;[3][R];C
AFR;147;Hobgoblin Bandit Lord;[1][R][R];R
AFR;148;Hobgoblin Captain;[1][R];C
AFR;149;Hulking Bugbear;[1][R][R];U
AFR;150;Improvised Weaponry;[2][R];C
AFR;151;Inferno of the Star Mounts;[4][R][R];M
AFR;152;Jaded Sell-Sword;[3][R];C
AFR;153;Kick in the Door;[R];C
AFR;154;Magic Missile;[1][R][R];U
AFR;155;Meteor Swarm;[X][R][R][R];R
AFR;156;Minion of the Mighty;[R];R
AFR;157;Orb of Dragonkind;[1][R];R
AFR;158;Plundering Barbarian;[2][R];C
AFR;159;Price of Loyalty;[2][R];C
AFR;160;Red Dragon;[4][R][R];U
AFR;161;Rust Monster;[2][R];U
AFR;162;Swarming Goblins;[4][R];C
AFR;163;Tiger-Tribe Hunter;[3][R][R];U
AFR;164;Unexpected Windfall;[2][R][R];C
AFR;165;Valor Singer;[2][R];C
AFR;166;Wish;[2][R];R
AFR;167;Xorn;[2][R];R
AFR;168;You Come to the Gnoll Camp;[1][R];C
AFR;169;You Find Some Prisoners;[1][R];U
AFR;170;You See a Pair of Goblins;[2][R];U
AFR;171;Zalto, Fire Giant Duke;[3][R][R];R
AFR;172;Zariel, Archduke of Avernus;[2][R][R];M
AFR;173;Bulette;[3][G];C
AFR;174;Bull's Strength;[1][G];C
AFR;175;Choose Your Weapon;[2][G];U
AFR;176;Circle of Dreams Druid;[G][G][G];R
AFR;177;Circle of the Moon Druid;[2][G];C
AFR;178;Compelled Duel;[1][G];C
AFR;179;Dire Wolf Prowler;[2][G];C
AFR;180;Druid Class;[1][G];U
AFR;A-180;A-Druid Class;[1][G];U
AFR;181;Ellywick Tumblestrum;[2][G][G];M
AFR;A-181;A-Ellywick Tumblestrum;[2][G][G];M
AFR;182;Elturgard Ranger;[4][G];C
